Id,Category
0,Andy Serkis
1,Amy Ryan
2,Adrien Brody
3,Adriana Barraza
4,Albert Brooks
5,Aaron Taylor-Johnson
6,Amber Heard
7,Adele
8,Ava Gardner
9,Alex Pettyfer
10,Anna Faris
11,Anthony Perkins
12,Bill Hader
13,Barabara Palvin
14,Benjamin Bratt
15,Berenice Bejo
16,Alessandra Ambrosio
17,Alan Arkin
18,Akemi Darenogare
19,Anderson Cooper
20,Ashley Graham
21,Ashley Greene
22,Benedict Cumberbatch
23,Adele
24,Ashley Greene
25,Alan Rickman
26,Benedict Cumberbatch
27,Albert Finney
28,Amber Heard
29,Adam Sandler
30,Angela Bassett
31,Ava Gardner
32,Amy Adams
33,Al Pacino
34,Andrew Garfield
35,Andreea Diaconu
36,Andrew Garfield
37,Aaron Taylor-Johnson
38,Anna Paquin
39,Alessandra Ambrosio
40,Alicia Vikander
41,bella thorne
42,Anderson Cooper
43,Anne Baxter
44,Bette Midler
45,Amy Ryan
46,Barbra Streisand
47,Adriana Barraza
48,Alan Arkin
49,Alessandra Ambrosio
50,Aaron Paul
51,Ava Gardner
52,Adriana Barraza
53,Abigail Breslin
54,Bill Paxton
55,Alice Eve
56,Adele
57,Andrew Lincoln
58,Bill O Reilly
59,Alec Baldwin
60,Anderson Cooper
61,Armin Mueller-Stahl
62,Audrey Tautou
63,Anthony Hopkins
64,Andy Garcia
65,Aaron Judge
66,Andreea Diaconu
67,Barbra Streisand
68,Alexandra Daddario
69,Andy Serkis
70,Albert Brooks
71,Ben Johnson
72,Analeigh Tipton
73,Adele
74,Anthony Perkins
75,Armin Mueller-Stahl
76,Bill Hader
77,Alessandra Ambrosio
78,Al Roker
79,Anna Friel
80,Al Pacino
81,Andreea Diaconu
82,Abigail Breslin
83,Anna Kendrick
84,Alice Eve
85,Anjelica Huston
86,Adriana Lima
87,Angelina Jolie
88,Arnold Schwarzenegger
89,Anthony Mackie
90,Amanda Bynes
91,Benicio Del Toro
92,Amanda Seyfried
93,Alex Pettyfer
94,Alicia Vikander
95,Alx James
96,Amanda Crew
97,Ben Kingsley
98,Armin Mueller-Stahl
99,Amber Heard
100,Adriana Lima
101,Andrew Lincoln
102,Ashley Judd
103,Amy Schumer
104,Benicio Del Toro
105,Andrew Garfield
106,Anna Paquin
107,Barabara Palvin
108,Ashley Judd
109,Akemi Darenogare
110,Bella Hadid
111,Amy Schumer
112,Ben Johnson
113,Aaron Judge
114,Abigail Breslin
115,Andrew Garfield
116,Bill Rancic
117,Aaron Paul
118,Anna Friel
119,Alexander Skarsgard
120,Anne Hathaway
121,Audrey Tautou
122,Aaron Paul
123,Alx James
124,Anthony Hopkins
125,Beyonce Knowles
126,Andrew Luck
127,Alice Eve
128,Berenice Bejo
129,Bill Paxton
130,Barbra Streisand
131,Anne Hathaway
132,Anna Faris
133,Anna Sui
134,Arnold Schwarzenegger
135,Adriana Barraza
136,Bill Rancic
137,Albert Finney
138,Ashley Judd
139,Anna Sui
140,Adele
141,Anne Hathaway
142,Annette Bening
143,AnnaSophia Robb
144,Alec Baldwin
145,bella thorne
146,Billy Bob Thornton
147,Bill Rancic
148,Alex Pettyfer
149,Aaron Paul
150,Albert Finney
151,Al Pacino
152,Billy Bob Thornton
153,Aaron Taylor-Johnson
154,Ben Johnson
155,Ashley Judd
156,Alan Arkin
157,Bette Midler
158,Benicio Del Toro
159,Anna Friel
160,Adele
161,Albert Finney
162,Amy Ryan
163,Alex Pettyfer
164,Akemi Darenogare
165,Amy Schumer
166,Anjelica Huston
167,Andrew Garfield
168,Aaron Judge
169,Adrianne Palicki
170,Amanda Bynes
171,Adriana Barraza
172,Angelina Jolie
173,Albert Finney
174,Alexandra Daddario
175,Anne Baxter
176,AnnaSophia Robb
177,Amanda Seyfried
178,Angelina Jolie
179,Barbra Streisand
180,Bill Daley
181,Benjamin Bratt
182,Andrew Lincoln
183,Analeigh Tipton
184,Alexandra Daddario
185,Alexander Skarsgard
186,Anthony Hopkins
187,Bill Rancic
188,Anna Kendrick
189,Andy Murray
190,Berenice Bejo
191,Amanda Bynes
192,Anjelica Huston
193,Adele
194,Anna Friel
195,Adrianne Palicki
196,Anthony Hopkins
197,Andy Serkis
198,Amanda Seyfried
199,Audrey Hepburn
200,Ashley Greene
201,Annette Bening
202,Antonio Banderas
203,Alessandra Ambrosio
204,Ben Johnson
205,Amanda Seyfried
206,Bill Rancic
207,Barbra Streisand
208,Betty White
209,Albert Brooks
210,Adele
211,Billy Bob Thornton
212,Ashley Judd
213,Amanda Bynes
214,Anne Bancroft
215,Adrien Brody
216,Amy Adams
217,Akemi Darenogare
218,Ben Stiller
219,Bill Pullman
220,Anna Faris
221,Abigail Breslin
222,Art Carney
223,Adele
224,Angelina Jolie
225,Benedict Cumberbatch
226,Anna Kendrick
227,Anna Kendrick
228,Anjelica Huston
229,Anna Paquin
230,Alx James
231,Antonio Banderas
232,Amy Schumer
233,Beyonce Knowles
234,Ava Gardner
235,Benicio Del Toro
236,Adrianne Palicki
237,Adriana Lima
238,Aaron Taylor-Johnson
239,bella thorne
240,Ashton Kutcher
241,Anthony Hopkins
242,Anna Kendrick
243,Benedict Cumberbatch
244,Ben Kingsley
245,Alexandra Daddario
246,Bill Murray
247,Aaron Taylor-Johnson
248,Andrew Luck
249,Benicio Del Toro
250,Beyonce Knowles
251,Arnold Schwarzenegger
252,Alexis Thorpe
253,Angelina Jolie
254,Amanda Crew
255,Bill Pullman
256,Andie MacDowell
257,Ashley Graham
258,Andreea Diaconu
259,Anna Kendrick
260,Alexandra Daddario
261,Ashley Judd
262,Amber Heard
263,Ava Gardner
264,Amanda Peet
265,Bette Midler
266,Barabara Palvin
267,Bill O Reilly
268,Amy Adams
269,Benedict Cumberbatch
270,Anna Paquin
271,Barabara Palvin
272,Beyonce Knowles
273,Andrew Garfield
274,Alice Eve
275,Benicio Del Toro
276,Andrew Garfield
277,Beyonce Knowles
278,Barabara Palvin
279,Anne Bancroft
280,Adriana Lima
281,Amber Heard
282,Armin Mueller-Stahl
283,Art Carney
284,Adele
285,Anderson Cooper
286,Andrew Lincoln
287,Amanda Seyfried
288,Anne Baxter
289,Alex Pettyfer
290,Alexander Skarsgard
291,Bill Hader
292,bella thorne
293,Bill Daley
294,bella thorne
295,Andy Serkis
296,Amy Schumer
297,Andy Serkis
298,Alex Pettyfer
299,Andrew Lincoln
300,Albert Finney
301,Bill Pullman
302,Amanda Seyfried
303,Antonio Banderas
304,Amy Adams
305,Al Roker
306,Analeigh Tipton
307,Alx James
308,Anna Faris
309,Anna Friel
310,Aaron Judge
311,Andy Garcia
312,Aaron Paul
313,Alx James
314,Bill Pullman
315,Bella Hadid
316,Alessandra Ambrosio
317,Anna Sui
318,Alessandra Ambrosio
319,Ashton Kutcher
320,Ben Kingsley
321,Alicia Vikander
322,Adrien Brody
323,Alx James
324,Al Pacino
325,Ali Larter
326,Bette Midler
327,Barry Pepper
328,Andy Samberg
329,Ava Gardner
330,Berenice Bejo
331,Alexis Thorpe
332,Arnold Schwarzenegger
333,Armin Mueller-Stahl
334,Anna Friel
335,Anthony Perkins
336,Audrey Tautou
337,Benicio Del Toro
338,Adrianne Palicki
339,Alexander Skarsgard
340,Andrew Lincoln
341,Andrew Luck
342,Alx James
343,Bernie Mac
344,Andy Serkis
345,Angelina Jolie
346,Benicio Del Toro
347,Ben Affleck
348,Anderson Cooper
349,Benjamin Bratt
350,Abigail Breslin
351,Andrew Luck
352,Ashley Judd
353,Bill Murray
354,Benjamin Bratt
355,Andrew Garfield
356,Barabara Palvin
357,Analeigh Tipton
358,Albert Finney
359,Amanda Peet
360,Abigail Breslin
361,Andreea Diaconu
362,Bette Midler
363,Amy Schumer
364,Angelina Jolie
365,Antonio Banderas
366,Ava Gardner
367,Angela Bassett
368,Audrey Tautou
369,Albert Brooks
370,Berenice Bejo
371,Andrew Garfield
372,Ben Kingsley
373,Audrey Tautou
374,Bill Murray
375,Albert Brooks
376,Amanda Bynes
377,Ashley Graham
378,Andy Garcia
379,Andrew Lincoln
380,Audrey Tautou
381,Ashley Graham
382,Alex Pettyfer
383,Adriana Lima
384,Andy Garcia
385,Arnold Schwarzenegger
386,Adrien Brody
387,Anthony Perkins
388,Ben Johnson
389,Anna Paquin
390,Alan Arkin
391,Armin Mueller-Stahl
392,Anthony Perkins
393,Bette Midler
394,Albert Finney
395,Aaron Paul
396,Alan Arkin
397,Bill Daley
398,Adam Sandler
399,AnnaSophia Robb
400,Anthony Mackie
401,Bella Hadid
402,Alec Baldwin
403,Ben Kingsley
404,Ben Kingsley
405,Anthony Perkins
406,Alexis Thorpe
407,Amy Adams
408,Ben Foster
409,Arnold Schwarzenegger
410,Audrey Tautou
411,Amber Heard
412,Adrien Brody
413,Alex Pettyfer
414,Barry Pepper
415,Adele
416,Ben Kingsley
417,Ben Stiller
418,Alexandra Daddario
419,Bernie Mac
420,Alexandra Daddario
421,Al Pacino
422,Andy Garcia
423,Alx James
424,Ashton Kutcher
425,Berenice Bejo
426,Andy Samberg
427,Andy Garcia
428,Andreea Diaconu
429,Anna Paquin
430,Ben Johnson
431,Ben Kingsley
432,Aaron Judge
433,Ben Johnson
434,Bill Murray
435,Armin Mueller-Stahl
436,Andrew Garfield
437,Bill Pullman
438,Anderson Cooper
439,Ben Kingsley
440,Amy Ryan
441,Alice Eve
442,Alexandra Daddario
443,Alice Eve
444,Adrien Brody
445,Benjamin Bratt
446,Art Carney
447,Anjelica Huston
448,Annette Bening
449,Amy Ryan
450,Angela Bassett
451,Al Pacino
452,Antonio Banderas
453,Alicia Vikander
454,Angela Bassett
455,Alexander Skarsgard
456,Alexis Thorpe
457,Aaron Taylor-Johnson
458,Alex Pettyfer
459,Adrien Brody
460,AnnaSophia Robb
461,Andie MacDowell
462,Amy Adams
463,Antonio Banderas
464,Amanda Crew
465,Andy Garcia
466,Aaron Judge
467,Bella Hadid
468,Amanda Seyfried
469,Ben Affleck
470,Antonio Banderas
471,Anna Paquin
472,Andy Murray
473,Aaron Taylor-Johnson
474,Amy Ryan
475,Al Roker
476,Aaron Taylor-Johnson
477,Alan Alda
478,Antonio Banderas
479,Bill O Reilly
480,Benedict Cumberbatch
481,Andy Garcia
482,Anjelica Huston
483,Andy Garcia
484,Benicio Del Toro
485,Abigail Breslin
486,Alan Rickman
487,Annette Bening
488,Ava Gardner
489,Alec Baldwin
490,Berenice Bejo
491,Ali Larter
492,Alex Pettyfer
493,Anna Kendrick
494,Adam Sandler
495,Analeigh Tipton
496,Benicio Del Toro
497,Alexander Skarsgard
498,Bette Midler
499,Abigail Breslin
500,Alec Baldwin
501,Anderson Cooper
502,Andy Serkis
503,Ben Affleck
504,Barbra Streisand
505,Alan Arkin
506,Andrew Garfield
507,Anna Sui
508,Benjamin Bratt
509,bella thorne
510,Antonio Banderas
511,Ava Gardner
512,Ava Gardner
513,Andie MacDowell
514,Ava Gardner
515,Ben Johnson
516,Alessandra Ambrosio
517,Anjelica Huston
518,Albert Finney
519,Ben Kingsley
520,Barabara Palvin
521,Adriana Barraza
522,Alan Arkin
523,Bill Hader
524,Ben Kingsley
525,Bill Daley
526,Audrey Hepburn
527,Bill Murray
528,Albert Finney
529,Adam Sandler
530,Andrew Garfield
531,Anjelica Huston
532,Abigail Breslin
533,Anna Kendrick
534,Ben Kingsley
535,Alan Alda
536,Ben Foster
537,Adele
538,Art Carney
539,Bernie Mac
540,Alan Alda
541,Akemi Darenogare
542,Anderson Cooper
543,Adriana Barraza
544,Ben Kingsley
545,Audrey Hepburn
546,Alicia Vikander
547,Anna Paquin
548,Art Carney
549,Anderson Cooper
550,Bill Rancic
551,Adrianne Palicki
552,Benedict Cumberbatch
553,Andy Garcia
554,Aaron Taylor-Johnson
555,Anna Kendrick
556,Andy Garcia
557,Alexander Skarsgard
558,Andrew Garfield
559,Bill Hader
560,Audrey Hepburn
561,Benedict Cumberbatch
562,Anthony Hopkins
563,Akemi Darenogare
564,Bill Paxton
565,Benjamin Bratt
566,Bill Murray
567,Andy Garcia
568,Alex Pettyfer
569,Ben Stiller
570,Alex Pettyfer
571,Albert Finney
572,Anna Friel
573,Angelina Jolie
574,Bella Hadid
575,Andy Serkis
576,Amy Ryan
577,Anne Hathaway
578,Bill O Reilly
579,Amy Adams
580,Bette Midler
581,Andy Samberg
582,Andie MacDowell
583,Alicia Vikander
584,Anderson Cooper
585,Armin Mueller-Stahl
586,Alan Rickman
587,Al Roker
588,Albert Finney
589,Alec Baldwin
590,Al Roker
591,Bella Hadid
592,Adam Sandler
593,Ben Affleck
594,Ashton Kutcher
595,Adriana Lima
596,Alan Arkin
597,Antonio Banderas
598,Al Roker
599,Amanda Seyfried
600,Aaron Taylor-Johnson
601,Alan Alda
602,Anne Baxter
603,Anna Friel
604,bella thorne
605,bella thorne
606,Alessandra Ambrosio
607,Arnold Schwarzenegger
608,Akemi Darenogare
609,Anna Kendrick
610,Aaron Paul
611,Adele
612,Bill Murray
613,Beyonce Knowles
614,Anthony Perkins
615,Amber Heard
616,Alexandra Daddario
617,Berenice Bejo
618,Betty White
619,Art Carney
620,Benedict Cumberbatch
621,Amy Ryan
622,Adrien Brody
623,Bill Rancic
624,Albert Brooks
625,Anna Faris
626,Adrianne Palicki
627,Al Roker
628,Anthony Mackie
629,Audrey Hepburn
630,Annette Bening
631,Albert Brooks
632,Anthony Mackie
633,Andrew Luck
634,Adriana Lima
635,Adele
636,Alex Pettyfer
637,Audrey Tautou
638,Ashley Greene
639,Albert Finney
640,Adrien Brody
641,Bill Murray
642,Antonio Banderas
643,Andy Samberg
644,Amy Adams
645,Bill Paxton
646,Alice Eve
647,Andrew Garfield
648,Alice Eve
649,Ben Johnson
650,Ashley Judd
651,Bill Pullman
652,Ali Larter
653,Analeigh Tipton
654,Amy Adams
655,Alexander Skarsgard
656,Anna Faris
657,Antonio Banderas
658,Adriana Barraza
659,Akemi Darenogare
660,Amanda Seyfried
661,Anne Bancroft
662,Adriana Barraza
663,Anne Bancroft
664,Barbra Streisand
665,Andy Garcia
666,Bill Murray
667,Anne Baxter
668,Aaron Taylor-Johnson
669,Ben Kingsley
670,Anderson Cooper
671,Alexander Skarsgard
672,Amanda Seyfried
673,Alice Eve
674,Alan Arkin
675,Amanda Peet
676,Anthony Hopkins
677,Amanda Bynes
678,Benedict Cumberbatch
679,Amy Ryan
680,Amy Schumer
681,Adrianne Palicki
682,Ali Larter
683,Barbra Streisand
684,Ben Johnson
685,Anthony Mackie
686,Bill Murray
687,Annette Bening
688,Barbra Streisand
689,Analeigh Tipton
690,Abigail Breslin
691,Al Pacino
692,Andy Garcia
693,Andy Samberg
694,Andy Samberg
695,Anna Faris
696,Bella Hadid
697,Andrew Garfield
698,Anne Bancroft
699,AnnaSophia Robb
700,Barbra Streisand
701,Albert Brooks
702,Berenice Bejo
703,Audrey Tautou
704,Andy Samberg
705,Angelina Jolie
706,Armin Mueller-Stahl
707,Albert Brooks
708,Aaron Paul
709,Alx James
710,Alx James
711,Andie MacDowell
712,Bill Pullman
713,Adele
714,Albert Brooks
715,Bill O Reilly
716,Annette Bening
717,Anne Bancroft
718,Anthony Hopkins
719,Benjamin Bratt
720,Andrew Garfield
721,Aaron Paul
722,Anjelica Huston
723,Abigail Breslin
724,Aaron Paul
725,Arnold Schwarzenegger
726,Ben Johnson
727,Amanda Crew
728,Adele
729,Benicio Del Toro
730,Ben Affleck
731,Andreea Diaconu
732,Audrey Hepburn
733,Adriana Lima
734,Anne Hathaway
735,Alx James
736,Anna Paquin
737,Ava Gardner
738,Bill Rancic
739,Alex Pettyfer
740,Bill Murray
741,Bernie Mac
742,Amy Ryan
743,Anna Paquin
744,Alicia Vikander
745,Barbra Streisand
746,Annette Bening
747,Antonio Banderas
748,Akemi Darenogare
749,Bella Hadid
750,Akemi Darenogare
751,Anna Kendrick
752,Benedict Cumberbatch
753,Annette Bening
754,Antonio Banderas
755,Ben Foster
756,Anthony Hopkins
757,Billy Bob Thornton
758,Ben Affleck
759,Barry Pepper
760,Alan Rickman
761,Ben Johnson
762,Aaron Judge
763,Amanda Bynes
764,Anna Friel
765,Ashton Kutcher
766,Amanda Bynes
767,Barbra Streisand
768,Albert Brooks
769,Bill Paxton
770,Ali Larter
771,Ashley Greene
772,Ali Larter
773,Ashton Kutcher
774,Bella Hadid
775,Annette Bening
776,Alex Pettyfer
777,Al Roker
778,Ben Kingsley
779,Alexis Thorpe
780,Andreea Diaconu
781,Andy Serkis
782,Ava Gardner
783,Anthony Perkins
784,Amanda Peet
785,Bill Rancic
786,AnnaSophia Robb
787,bella thorne
788,Andrew Luck
789,Amy Ryan
790,Bill Murray
791,Armin Mueller-Stahl
792,Audrey Hepburn
793,Andie MacDowell
794,Ava Gardner
795,Amanda Bynes
796,Amy Ryan
797,Ben Affleck
798,Betty White
799,Betty White
800,Anna Kendrick
801,Anjelica Huston
802,Analeigh Tipton
803,Aaron Judge
804,Barabara Palvin
805,Amy Adams
806,Angela Bassett
807,Al Pacino
808,Anne Hathaway
809,Bernie Mac
810,Adrianne Palicki
811,bella thorne
812,Ben Affleck
813,Angelina Jolie
814,Anthony Perkins
815,Andy Garcia
816,Alexander Skarsgard
817,Andreea Diaconu
818,Barry Pepper
819,AnnaSophia Robb
820,Akemi Darenogare
821,Bill O Reilly
822,Anna Friel
823,Andrew Lincoln
824,Adrien Brody
825,Andy Samberg
826,Audrey Hepburn
827,Anne Baxter
828,Bette Midler
829,Ben Johnson
830,Andreea Diaconu
831,Alex Pettyfer
832,Andy Murray
833,Bill O Reilly
834,Amanda Bynes
835,Andy Murray
836,Alex Pettyfer
837,Abigail Breslin
838,Anne Baxter
839,Benjamin Bratt
840,Betty White
841,Alessandra Ambrosio
842,Andrew Luck
843,Ava Gardner
844,Andy Garcia
845,bella thorne
846,Andy Serkis
847,Barbra Streisand
848,Aaron Paul
849,Andy Garcia
850,Benicio Del Toro
851,Adrianne Palicki
852,Alicia Vikander
853,Angelina Jolie
854,Adam Sandler
855,Andy Serkis
856,Beyonce Knowles
857,Barabara Palvin
858,Benicio Del Toro
859,Bill O Reilly
860,Anne Baxter
861,Alex Pettyfer
862,Benicio Del Toro
863,Andy Garcia
864,Amy Schumer
865,Ben Stiller
866,Betty White
867,Anna Friel
868,Antonio Banderas
869,Bill Daley
870,Anjelica Huston
871,Ashley Judd
872,Albert Finney
873,Benicio Del Toro
874,Bernie Mac
875,Ben Johnson
876,Amber Heard
877,Amy Ryan
878,Amber Heard
879,Andrew Garfield
880,Anne Bancroft
881,Barbra Streisand
882,Ben Johnson
883,Alan Alda
884,Anna Faris
885,Ashley Greene
886,Anna Kendrick
887,Annette Bening
888,Benedict Cumberbatch
889,Ben Affleck
890,Alessandra Ambrosio
891,Ashton Kutcher
892,Alessandra Ambrosio
893,Barry Pepper
894,Berenice Bejo
895,Betty White
896,Andreea Diaconu
897,Abigail Breslin
898,Ava Gardner
899,Ashley Graham
900,Anna Sui
901,Bette Midler
902,Amy Ryan
903,Bernie Mac
904,Bill Pullman
905,Anna Kendrick
906,Amanda Bynes
907,Anne Baxter
908,Alx James
909,Andrew Luck
910,Al Pacino
911,Aaron Taylor-Johnson
912,Al Roker
913,Abigail Breslin
914,Audrey Tautou
915,Anna Paquin
916,Angelina Jolie
917,Ashley Judd
918,Alan Rickman
919,Amy Adams
920,Benicio Del Toro
921,Angelina Jolie
922,Anne Baxter
923,Adele
924,Art Carney
925,Alexis Thorpe
926,Anjelica Huston
927,Amanda Seyfried
928,Al Roker
929,Alan Arkin
930,Angela Bassett
931,Amy Schumer
932,Ali Larter
933,Aaron Judge
934,Anne Hathaway
935,Andie MacDowell
936,Bill Rancic
937,Bill O Reilly
938,Amanda Peet
939,Anthony Hopkins
940,Ashley Greene
941,Alec Baldwin
942,Akemi Darenogare
943,Alice Eve
944,Bill O Reilly
945,Ben Foster
946,Ashley Judd
947,Armin Mueller-Stahl
948,Adriana Barraza
949,Adriana Barraza
950,Ashley Greene
951,Alexandra Daddario
952,Ben Stiller
953,Al Pacino
954,Andy Samberg
955,Alex Pettyfer
956,Akemi Darenogare
957,Amanda Peet
958,bella thorne
959,Barry Pepper
960,Anna Faris
961,Aaron Paul
962,Alice Eve
963,Bill Murray
964,Amanda Seyfried
965,Ashley Judd
966,Amanda Seyfried
967,Albert Finney
968,Alx James
969,Anna Faris
970,Amy Schumer
971,Al Pacino
972,Amanda Peet
973,Anne Baxter
974,Adriana Barraza
975,Alice Eve
976,Adriana Lima
977,Audrey Tautou
978,Ashley Greene
979,Anna Friel
980,Anthony Hopkins
981,Alan Alda
982,Andrew Luck
983,Anna Friel
984,Ben Foster
985,Analeigh Tipton
986,Alx James
987,Anthony Mackie
988,Anna Friel
989,Al Pacino
990,Barabara Palvin
991,Anne Bancroft
992,Ashley Judd
993,Alexis Thorpe
994,Adrianne Palicki
995,Alicia Vikander
996,Andrew Luck
997,Alx James
998,Ben Affleck
999,Amber Heard
1000,Andy Samberg
1001,Benjamin Bratt
1002,Annette Bening
1003,Benjamin Bratt
1004,Barbra Streisand
1005,Anthony Perkins
1006,Anna Faris
1007,Amy Schumer
1008,Bill Hader
1009,Anna Kendrick
1010,Alan Alda
1011,Alessandra Ambrosio
1012,Adrianne Palicki
1013,Ben Johnson
1014,Berenice Bejo
1015,Berenice Bejo
1016,Ashton Kutcher
1017,Akemi Darenogare
1018,Bill Paxton
1019,Adriana Lima
1020,Alessandra Ambrosio
1021,Benicio Del Toro
1022,Anderson Cooper
1023,Anthony Mackie
1024,Al Pacino
1025,Andy Garcia
1026,Aaron Judge
1027,Anthony Hopkins
1028,Betty White
1029,Bill Rancic
1030,Abigail Breslin
1031,Angelina Jolie
1032,Adriana Lima
1033,Benedict Cumberbatch
1034,Anne Hathaway
1035,Amanda Crew
1036,Ava Gardner
1037,Analeigh Tipton
1038,Amy Ryan
